C02-1122 ==> C04-1174:0.9666, H01-1043:0.9515, I08-2110:0.9413, W02-1608:0.9407, P09-2052:0.8824, I05-1005:0.8587, P06-2097:0.8408, N06-1023:0.8380, C04-1050:0.8120, P02-1028:0.7736
I08-1044 ==> W06-0140:0.9491, W06-0130:0.9272, I08-4019:0.9192, I08-4016:0.9173, I08-4030:0.9118, I08-1002:0.9103, P05-1062:0.9101, I08-4025:0.9036, D09-1162:0.9011, J14-3004:0.9006
W07-0725 ==> W08-0313:0.9612, W14-3306:0.9103, W07-0720:0.9077, P09-4005:0.9059, W06-3125:0.9049, W14-3303:0.9016, L08-1113:0.8962, W06-3120:0.8947, W09-0423:0.8945, W09-0427:0.8919
W12-4105 ==> S14-2133:0.9235, C14-1151:0.9007, W11-0322:0.8885, S10-1078:0.8874, W09-1701:0.8870, P14-1044:0.8812, P14-2087:0.8749, P08-3009:0.8647, J10-1004:0.8641, L08-1041:0.8631
P08-2034 ==> W10-4121:0.9907, W11-1712:0.9815, W06-0306:0.9811, W13-2513:0.9789, W13-2402:0.9772, C10-2036:0.9767, S10-1100:0.9753, C10-2169:0.9730, P07-3007:0.9709, W10-4119:0.9682
W10-4212 ==> W10-4214:0.9225, W09-0615:0.9209, W07-1504:0.8965, W08-1113:0.8947, P11-2116:0.8946, W13-2108:0.8925, W08-1108:0.8882, W10-4204:0.8882, W12-1503:0.8866, W07-1901:0.8830
W11-0813 ==> C08-3010:0.8578, L08-1252:0.8315, W04-0505:0.8036, E03-2006:0.7952, P07-1076:0.7949, C04-1170:0.7935, C04-1136:0.7910, C10-1047:0.7909, H05-1076:0.7896, W03-0908:0.7888
P00-1073 ==> P02-1023:0.9577, W13-3008:0.9397, D07-1021:0.9392, W07-0712:0.8313, W06-3113:0.8260, P04-1059:0.7868, P06-1126:0.7792, W04-1119:0.7766, P03-1035:0.7764, W08-0335:0.7757
W04-1510 ==> W06-1502:0.9939, C02-1113:0.9850, C00-2087:0.9761, P01-1028:0.9756, P02-1003:0.9648, P07-1043:0.9549, W04-0408:0.9505, P01-1029:0.9500, C02-1116:0.9494, P06-1138:0.9233
W14-2007 ==> E12-1080:0.8504, C14-1044:0.8358, P07-1102:0.8317, W06-1637:0.8255, W10-2002:0.8008, P13-1093:0.7904, E14-1030:0.7733, W14-3337:0.7653, N12-1002:0.7640, E06-1036:0.7605
W12-1633 ==> W10-3206:0.9293, L08-1331:0.8793, I05-1065:0.8722, W13-4044:0.8600, C04-1034:0.8482, W06-2906:0.8415, W10-4305:0.8375, P10-1128:0.8336, W04-0706:0.8332, W04-0713:0.8324
W09-3016 ==> W04-2007:0.9608, L08-1558:0.9592, W09-3005:0.9585, W05-1102:0.9546, W09-3212:0.9518, E03-1018:0.9511, W06-1508:0.9491, W01-1507:0.9484, P05-2019:0.9468, P05-3023:0.9452
W07-2097 ==> W04-0820:0.9409, W04-0860:0.9072, W04-0831:0.8239, W04-0851:0.8173, W05-0817:0.7924, C04-1183:0.7896, E09-1010:0.7856, N07-3008:0.7811, S14-1005:0.7808, C04-1192:0.7794
D09-1021 ==> P09-1020:0.9402, P13-1001:0.9326, P10-1108:0.9221, P13-2063:0.9188, D10-1043:0.9138, C10-2136:0.9108, C14-1195:0.9103, P13-2069:0.9078, P11-1123:0.9066, P11-3007:0.9061
C02-1058 ==> C00-1059:0.9939, N03-1015:0.9912, C04-1105:0.9888, E03-1050:0.9303, W02-1037:0.9279, C08-1007:0.9161, W04-3208:0.9126, I08-2104:0.9018, C08-1017:0.8974, N10-1070:0.8902
W05-0835 ==> W05-0815:0.9807, N06-1013:0.9024, D12-1070:0.8978, P10-2067:0.8862, P11-2029:0.8846, W08-0408:0.8795, W12-0215:0.8791, P06-2061:0.8773, W10-1747:0.8747, D10-1052:0.8736
P14-2081 ==> C14-1092:0.8765, W11-2210:0.8706, D10-1009:0.8576, W14-0404:0.8574, N12-1089:0.8569, P14-2112:0.8448, C10-2022:0.8444, C08-1125:0.8429, D13-1008:0.8420, E14-4037:0.8320
E03-1003 ==> W14-4906:0.9449, W00-0402:0.9228, W00-1403:0.9217, P01-1014:0.9197, W00-1206:0.9186, C02-1141:0.9135, W09-2509:0.9084, J00-3005:0.9075, N06-4001:0.8944, W01-0803:0.8902
S14-2103 ==> S13-2092:0.9089, W14-2625:0.9019, P13-1097:0.8996, P08-2028:0.8945, W14-3010:0.8923, S14-2106:0.8912, W09-2011:0.8901, S14-2099:0.8889, W13-1614:0.8875, W14-5805:0.8867
D13-1168 ==> W14-2405:0.7580, P10-1115:0.7239, N13-1006:0.7177, H05-1050:0.7157, D10-1108:0.7151, D11-1117:0.7106, P10-1135:0.7082, P10-2020:0.7059, D13-1045:0.7043, W13-5005:0.7042
W06-1629 ==> W10-2402:0.9879, I08-2086:0.9863, W12-4401:0.9858, P07-2039:0.9666, D13-1021:0.9567, L08-1055:0.9550, P04-1021:0.9511, N10-1102:0.9491, P10-2051:0.9484, W10-2409:0.9445
W12-3138 ==> W10-1708:0.9417, N09-2052:0.9333, P13-1080:0.9313, W13-1740:0.9286, W09-0411:0.9279, W14-4017:0.9253, P09-1106:0.9223, W10-1732:0.9221, W09-0405:0.9209, N13-1115:0.9187
W12-3904 ==> I05-1082:0.8295, S10-1051:0.8269, P06-2064:0.8219, C08-1011:0.8077, W04-0404:0.8047, W10-0805:0.7915, W10-3406:0.7901, W07-2103:0.7887, S10-1052:0.7873, W07-2080:0.7868
W13-4041 ==> W04-1302:0.9466, L08-1420:0.9453, N04-3003:0.9422, W09-0702:0.9422, P10-1082:0.9415, P09-2048:0.9412, I05-2003:0.9411, C00-1018:0.9393, P01-1054:0.9391, P99-1005:0.9364
W10-4145 ==> E09-1090:0.9557, S12-1072:0.8960, E14-1014:0.8485, P11-2126:0.8472, P10-3016:0.8461, P13-2104:0.8391, P14-1056:0.8345, W08-0504:0.8291, S10-1060:0.8264, D14-1107:0.8252
N10-1017 ==> J08-4005:0.9569, C08-1013:0.9517, S14-1006:0.8956, I05-5003:0.8859, C14-1117:0.8778, P02-1020:0.8624, W13-2325:0.8618, P11-2096:0.8616, P11-2043:0.8564, P13-4028:0.8553
S13-2091 ==> C14-1019:0.8972, S13-2071:0.8844, S13-2076:0.8804, S13-2085:0.8767, S10-1097:0.8717, D12-1014:0.8706, D08-1013:0.8700, S13-2080:0.8695, P13-2147:0.8688, D08-1058:0.8680
P02-1048 ==> C00-1054:0.9985, C00-1053:0.9979, N04-4012:0.9782, W12-3505:0.9777, W07-0303:0.9772, P07-1048:0.9764, P03-2005:0.9749, W08-0801:0.9703, N06-2040:0.9672, C10-2178:0.9613
S12-1002 ==> N12-1090:0.9354, P13-2015:0.9329, H05-1083:0.9282, W12-4513:0.9256, C14-1201:0.9249, W12-4510:0.9232, W11-1905:0.9187, P13-3012:0.9172, W12-4516:0.9115, W12-2501:0.9112
W12-3209 ==> W10-0402:0.9402, W12-3212:0.8970, L08-1251:0.8762, L08-1005:0.8708, W04-3113:0.8653, P11-4002:0.8622, L08-1291:0.8575, W12-3213:0.8370, W10-1114:0.8244, D07-1089:0.8139
W10-0301 ==> C04-1130:0.8838, D09-1138:0.8623, S13-1038:0.8547, J04-1003:0.8524, P04-2007:0.8517, W10-2805:0.8494, W13-1014:0.8486, S13-2019:0.8470, S14-1022:0.8441, W12-1008:0.8428
P10-2039 ==> P09-1057:0.9671, E09-1042:0.9403, P08-1085:0.9373, D10-1083:0.9116, D10-1020:0.9041, W14-1615:0.9038, N12-1014:0.8904, D07-1031:0.8891, C10-2159:0.8810, W08-2112:0.8772
W09-1213 ==> W09-1206:0.9353, D14-1049:0.9295, W09-1216:0.9284, Q13-1018:0.9143, W09-1212:0.9137, W09-1211:0.9130, C10-2076:0.9129, W09-1217:0.9083, D10-1072:0.9081, W09-1214:0.9066
P05-2015 ==> W02-1906:0.9236, W04-0507:0.9165, L08-1135:0.9122, P01-1049:0.9111, W04-0503:0.9099, W04-0502:0.9073, W00-0603:0.9069, H01-1050:0.8985, A00-1028:0.8980, W04-1803:0.8951
C14-1112 ==> W13-2257:0.9072, P12-1096:0.8997, N10-1127:0.8961, J10-3009:0.8948, W06-3124:0.8900, W14-6005:0.8837, W08-0401:0.8780, P07-1002:0.8777, D08-1060:0.8761, W07-0706:0.8759
D14-1203 ==> D14-1205:0.9101, P13-2117:0.8864, P14-2117:0.8851, N13-1095:0.8813, E14-2023:0.8760, D14-1164:0.8759, C14-1159:0.8736, W14-6203:0.8678, D14-1166:0.8653, D14-1208:0.8633
W02-0604 ==> I08-1003:0.9846, E09-1015:0.9521, D09-1070:0.9491, W06-3209:0.9456, E06-2023:0.9454, P03-1036:0.9437, W05-0504:0.9427, E06-2022:0.9416, W04-0106:0.9415, W02-0602:0.9403
N09-1018 ==> P10-2018:0.9305, D08-1008:0.9201, W08-2136:0.9140, S10-1061:0.8970, W14-0803:0.8927, W08-2126:0.8902, C10-1079:0.8788, P10-2019:0.8760, W09-1207:0.8735, W08-2129:0.8735
W08-2111 ==> W04-2420:0.9677, I08-2079:0.9587, W06-1622:0.9555, N09-2065:0.9456, W04-2418:0.9452, I05-1068:0.9448, W05-0621:0.9434, P06-2010:0.9431, W06-1518:0.9412, H05-1084:0.9381
W06-0707 ==> W13-3103:0.9752, W09-2806:0.9736, E09-1084:0.9735, N10-3003:0.9734, P08-1094:0.9729, L08-1063:0.9724, P09-2027:0.9723, P12-2070:0.9722, C10-2106:0.9719, W05-0907:0.9666
D12-1099 ==> N10-1111:0.8641, W12-1908:0.8566, W14-1615:0.8556, C08-1039:0.8439, S14-2127:0.8412, W08-2112:0.8358, D07-1087:0.8328, W12-1914:0.8299, I08-2130:0.8298, W13-2413:0.8285
W06-3208 ==> E06-2023:0.9867, W06-3209:0.9577, W04-0109:0.9575, I08-1003:0.9535, W04-0106:0.9333, E06-2022:0.9313, W02-0606:0.9287, W07-1032:0.9286, W12-0505:0.9262, J11-2002:0.9257
S13-2035 ==> P14-5012:0.9454, J13-3008:0.9385, D10-1073:0.9178, S13-2039:0.9163, D13-1148:0.9161, W10-4163:0.9128, W14-0606:0.9057, C14-1035:0.9024, W14-0815:0.8966, S13-2038:0.8960
E03-1065 ==> W03-2805:0.9553, W06-0805:0.9461, P07-2037:0.9439, L08-1289:0.9438, E06-2003:0.9424, W05-0105:0.9403, J08-2008:0.9399, E03-2014:0.9394, W05-1527:0.9365, W11-2703:0.9348
D14-1131 ==> W07-0701:0.9371, W11-1007:0.9261, N13-1116:0.9247, D14-1176:0.9124, D10-1027:0.9119, W10-1732:0.9118, W11-1009:0.9110, C14-1195:0.9098, N06-1002:0.9089, W12-3125:0.9068
W02-1403 ==> C02-2013:0.9716, L08-1362:0.9695, W09-3935:0.9656, C00-2149:0.9624, W02-0101:0.9620, W09-3412:0.9610, W05-0710:0.9607, P99-1079:0.9600, W02-0405:0.9599, C00-2134:0.9597
C02-2024 ==> P03-1026:0.9808, P04-1029:0.9740, N03-3005:0.9649, C00-2155:0.8823, E09-1093:0.8823, W02-1509:0.8644, W05-1511:0.8607, N10-2010:0.8430, W06-1503:0.8404, W06-1520:0.8403
N12-1093 ==> P12-1039:0.8334, W08-2105:0.8177, S14-2146:0.8040, C10-2062:0.8038, W14-4417:0.7937, C10-1108:0.7878, W10-2903:0.7748, D11-1149:0.7740, N13-1103:0.7597, P13-2009:0.7420
D13-1086 ==> D13-1016:0.9361, N13-1080:0.9001, D08-1072:0.8986, W10-2608:0.8955, P11-3022:0.8945, W14-2602:0.8898, W13-3501:0.8890, P08-2065:0.8865, P12-2053:0.8833, P13-1034:0.8824
W07-2056 ==> D09-1048:0.9876, W04-0834:0.9864, W04-0839:0.9715, C04-1131:0.9607, I05-1081:0.9521, W04-2404:0.9338, W04-0852:0.9335, P06-2028:0.9301, W07-2055:0.9297, N01-1010:0.9261
W07-1216 ==> P06-1120:0.9924, E09-2012:0.9901, W06-1006:0.9820, P06-4016:0.9814, D09-1051:0.9738, P05-2003:0.9505, W07-1511:0.9361, W03-1806:0.9263, E03-2006:0.9174, E03-1080:0.9128
P12-1090 ==> W02-1016:0.9427, C08-1057:0.9392, I08-2107:0.9385, E03-1037:0.9239, L08-1163:0.9235, W11-0910:0.9217, W07-2017:0.9172, P04-2008:0.9132, W06-1905:0.9115, P06-2043:0.9099
W12-2208 ==> D12-1043:0.9152, W14-1213:0.9108, W13-1506:0.9078, W10-1001:0.9074, W12-2019:0.9069, W12-2206:0.9053, W14-5605:0.9033, N07-4002:0.8974, W08-0909:0.8972, W13-2904:0.8965
W08-2106 ==> W06-1644:0.9861, P14-2096:0.9854, H01-1064:0.9753, P14-1124:0.9744, P09-1086:0.9743, W04-2902:0.9737, H05-2015:0.9731, P05-3011:0.9650, N06-1053:0.9566, P05-1055:0.9526
C10-2084 ==> W10-3802:0.9340, P10-1033:0.9294, D14-1016:0.9293, C10-2095:0.9268, D10-1052:0.9147, W11-2167:0.9016, C10-1084:0.9013, W06-3106:0.8983, P09-1066:0.8971, P11-2066:0.8969
W08-1913 ==> W10-3403:0.9565, W00-1202:0.9547, J11-2009:0.9509, P99-1052:0.9502, W02-2009:0.9501, L08-1377:0.9489, D09-1163:0.9476, C02-1062:0.9466, C02-1123:0.9462, P99-1039:0.9462
W09-3934 ==> N06-2023:0.9532, W09-3910:0.9493, P10-1009:0.9450, N07-2054:0.9433, W09-3917:0.9345, W00-1012:0.9132, D10-1084:0.8999, N07-4009:0.8979, C04-1079:0.8969, W12-1629:0.8949
D09-1022 ==> D08-1039:0.9055, P07-1005:0.8759, W10-1711:0.8533, S10-1023:0.8430, W11-2124:0.8185, W08-0302:0.8178, N09-2005:0.8176, W12-3109:0.8090, D10-1054:0.8067, E14-4011:0.8016
P01-1050 ==> W02-1018:0.9432, C00-2172:0.9144, N03-1017:0.8469, P03-1041:0.8190, W03-0313:0.8043, W04-3227:0.7775, W05-0829:0.7669, W09-3804:0.7633, W12-0106:0.7553, N03-2036:0.7548
W14-3703 ==> D12-1024:0.9603, E12-1022:0.9588, E09-2002:0.9545, C08-1062:0.9529, D08-1079:0.9444, P14-2055:0.9427, N13-1086:0.9426, W10-3903:0.9396, C14-1113:0.9371, C14-1056:0.9351
N12-1088 ==> D09-1023:0.8590, D13-1112:0.8513, D14-1021:0.8491, P12-2062:0.8322, P14-2024:0.8294, N13-1025:0.8281, D13-1083:0.8278, P10-1017:0.8269, P13-1110:0.8257, W13-0807:0.8234
E06-2016 ==> W06-2608:0.9836, P05-3014:0.9409, P05-1050:0.9398, W04-0849:0.9381, W04-0808:0.9316, W07-2099:0.9294, W04-0838:0.9273, W04-0827:0.9207, W02-0814:0.9203, W07-2078:0.9160
C14-1105 ==> C08-1137:0.9571, S14-2030:0.9566, W10-3812:0.9440, W14-3359:0.9415, D13-1138:0.9405, P11-1104:0.9394, W08-1510:0.9394, P11-2074:0.9386, N13-1034:0.9372, W11-2140:0.9350
W10-1710 ==> W13-2229:0.9159, E09-1063:0.9091, W10-1719:0.9056, N09-1046:0.9022, W09-0413:0.8978, P08-2020:0.8964, W11-2154:0.8932, P12-2056:0.8905, W14-5709:0.8880, W14-3314:0.8846
W04-1006 ==> P11-3008:0.9877, W03-0505:0.9392, I08-1063:0.9210, J02-4005:0.8795, W04-1007:0.8382, A00-2035:0.8342, W04-2611:0.8225, J02-3002:0.8090, N07-3005:0.8064, W04-1011:0.7943
C04-1035 ==> W09-3944:0.9402, P10-1009:0.9224, W09-3912:0.9190, N10-1098:0.9112, W09-3914:0.9079, W99-0629:0.9073, P09-3010:0.9061, P99-1020:0.9054, W00-1012:0.9049, N03-5005:0.9042
P00-1016 ==> W00-1304:0.9437, P00-1036:0.8480, N01-1006:0.8090, W01-0710:0.6872, C02-1162:0.6617, W00-0726:0.6130, W02-1607:0.5982, W00-0735:0.5968, W00-0733:0.5928, P01-1035:0.5861
J11-4005 ==> P14-1094:0.8675, W14-2903:0.8523, W14-2408:0.8314, W09-3208:0.8287, P12-2042:0.8220, P07-2044:0.8153, P12-1011:0.8134, W13-1202:0.8118, W14-0707:0.8084, W14-3705:0.8042
D13-1010 ==> W10-0723:0.9596, W10-0730:0.9517, D07-1069:0.9437, N07-1037:0.9089, D13-1191:0.9079, C08-1040:0.8996, P10-2047:0.8993, N09-1057:0.8947, D14-1125:0.8928, W10-0209:0.8916
C04-1033 ==> W06-3316:0.9599, W12-4504:0.8997, W12-2414:0.8904, I05-1063:0.8820, C04-1075:0.8772, W06-0106:0.8736, W04-1201:0.8694, W11-1823:0.8576, W06-3605:0.8472, S10-1018:0.8455
W09-1217 ==> W09-1213:0.9083, W09-1202:0.9055, D14-1049:0.9019, C10-3009:0.8910, W08-2130:0.8887, W10-1811:0.8877, C10-2076:0.8769, W09-1206:0.8753, W11-0906:0.8751, W11-1414:0.8711
P06-2006 ==> P06-4020:0.9664, W05-1517:0.9393, L08-1149:0.9275, P11-1019:0.8983, L08-1109:0.8958, W12-0906:0.8955, W12-0911:0.8914, W07-1607:0.8906, W12-0910:0.8902, P11-1136:0.8882
W04-1612 ==> W02-0504:0.9927, P09-2056:0.9438, D07-1116:0.9353, L08-1460:0.9352, W05-0711:0.9247, P11-1088:0.9238, W14-3602:0.9233, W09-0804:0.9221, W12-6203:0.9190, P08-2030:0.9144
W10-0408 ==> D12-1043:0.7983, N12-1063:0.7923, W08-0911:0.7886, E09-3003:0.7849, W14-1821:0.7830, W05-0201:0.7821, W10-1007:0.7770, W14-1819:0.7751, W12-2206:0.7749, E09-1027:0.7728
E06-1023 ==> P07-2031:0.9876, W06-1322:0.9853, P03-1070:0.8810, W08-0105:0.8796, A00-2001:0.8776, W11-2035:0.8750, N06-2010:0.8696, W13-4044:0.8638, W12-3504:0.8418, W10-4228:0.8416
L08-1039 ==> W09-2601:0.8777, P10-1022:0.8764, C10-1122:0.8677, W06-0609:0.8657, L08-1597:0.8609, L08-1600:0.8561, C10-2156:0.8515, L08-1240:0.8504, C10-1053:0.8497, W07-1212:0.8481
S13-2022 ==> S12-1105:0.9102, S12-1106:0.9075, P12-2024:0.9057, S12-1064:0.8921, S13-2023:0.8903, S13-2005:0.8812, P09-2073:0.8776, S13-2006:0.8596, S12-1065:0.8552, N10-1045:0.8538
P13-1012 ==> P13-3012:0.9369, D13-1029:0.9291, W12-4511:0.9244, S10-1020:0.9238, W11-1917:0.9217, C14-1201:0.9185, W11-1915:0.9178, W12-2501:0.9174, W11-1904:0.9164, P10-1144:0.9117
W13-5007 ==> N13-1094:0.9163, E09-1021:0.9110, D09-1156:0.9068, C10-1095:0.8961, D09-1089:0.8896, W12-4004:0.8886, D11-1011:0.8885, P06-2075:0.8852, D13-1039:0.8848, W09-2508:0.8794
W04-2113 ==> W13-3407:0.9627, W08-1508:0.9610, W12-4002:0.9593, N10-1055:0.9587, I05-2003:0.9585, W02-0702:0.9577, W10-4318:0.9574, C04-1025:0.9570, P14-2116:0.9564, H01-1049:0.9563
N03-3006 ==> P04-2007:0.9564, W06-2302:0.9441, W04-0913:0.9271, W04-2005:0.9212, E03-1025:0.8804, L08-1210:0.8798, W09-0306:0.8783, P08-3010:0.8607, W06-2910:0.8549, P05-1076:0.8517
W14-4722 ==> W10-4231:0.9565, E99-1007:0.9440, P99-1079:0.9420, W03-0608:0.9420, L08-1324:0.9412, W14-2414:0.9405, A00-2025:0.9403, W05-0506:0.9403, N03-5005:0.9400, P99-1020:0.9394
W03-0609 ==> W12-2908:0.9440, A00-2006:0.9433, P99-1035:0.9349, W02-0112:0.9346, W02-0101:0.9315, E12-1057:0.9314, I05-3009:0.9312, P05-3028:0.9311, W11-0210:0.9296, L08-1401:0.9294
C08-1031 ==> C10-1020:0.9085, W12-4301:0.8772, P11-2101:0.8591, W14-2625:0.8385, Q14-1013:0.8318, W14-4420:0.8223, W11-1715:0.8220, P14-1105:0.8213, P06-1134:0.8147, C10-2057:0.8142
P13-1103 ==> W11-0407:0.8405, D09-1126:0.8375, W11-0108:0.8373, L08-1600:0.8364, W07-1203:0.8267, S14-2008:0.8258, W07-1210:0.8220, C10-2051:0.8192, C10-1026:0.8188, W13-1201:0.8185
N10-1088 ==> S10-1078:0.9112, W13-5003:0.9093, S13-2113:0.9030, S13-2036:0.8993, S13-2043:0.8981, S13-2039:0.8964, W10-1908:0.8920, W11-1413:0.8893, W09-1701:0.8866, W07-2075:0.8830
W04-0210 ==> W08-2215:0.9504, P04-1019:0.9342, W04-0707:0.9261, P00-1051:0.9176, N04-4020:0.9163, W00-1415:0.9147, L08-1091:0.9147, C00-1045:0.9060, W05-0311:0.9043, W13-2313:0.8975
W11-1514 ==> W11-1709:0.9269, E12-1031:0.9054, W11-0611:0.8978, N12-1071:0.8942, W10-0204:0.8841, W14-0901:0.8818, P11-2064:0.8802, W08-0616:0.8367, D09-1063:0.8358, W13-1603:0.8338
I05-1031 ==> N04-4008:0.9396, W07-2065:0.8382, P06-2118:0.8122, P04-1038:0.8101, I05-3012:0.8006, C02-1162:0.8001, C02-1143:0.7997, W04-0847:0.7973, I08-4006:0.7916, I05-1081:0.7835
P06-2050 ==> C00-1026:0.9709, I05-3008:0.9643, W00-1203:0.9627, W04-1106:0.9617, C10-1133:0.9293, H01-1044:0.9263, J06-2003:0.9196, P04-3007:0.9188, W03-1603:0.9143, W03-0612:0.9107
W09-3910 ==> W09-3917:0.9532, W09-3934:0.9493, P10-1009:0.9442, N07-2054:0.9291, N06-2023:0.9248, P08-2033:0.9109, E09-2005:0.9041, W07-1605:0.9041, W10-2603:0.9036, C02-1018:0.9028
W10-1610 ==> L08-1275:0.9658, D14-1031:0.9452, W09-0308:0.9383, L08-1323:0.9341, C08-1126:0.9336, L08-1168:0.9178, W14-4332:0.9122, S14-1004:0.9104, W09-1123:0.9016, P13-3024:0.9015
L08-1291 ==> L08-1005:0.9517, W12-3213:0.9451, W10-0402:0.9299, W10-1114:0.9275, D07-1089:0.9105, W12-3209:0.8575, W12-3212:0.8278, P14-2059:0.7914, P08-1093:0.7873, L08-1251:0.7848
W10-1752 ==> W08-0324:0.9218, W11-2110:0.9150, W09-0403:0.9134, C14-1193:0.9126, W08-0312:0.9103, W14-4003:0.9102, P12-3024:0.9067, W13-2253:0.9064, W11-2105:0.9055, W13-2202:0.9025
W04-0803 ==> W07-2021:0.9186, W06-2106:0.9135, W07-2040:0.8933, J08-2006:0.8755, C04-1179:0.8726, W04-0835:0.8619, N04-3006:0.8599, W02-0802:0.8579, L08-1599:0.8449, W10-1812:0.8393
P09-2056 ==> D07-1116:0.9696, P06-1073:0.9476, P10-2063:0.9450, W04-1612:0.9438, W09-0804:0.9419, L08-1460:0.9410, P11-1088:0.9387, W02-0504:0.9375, W05-0711:0.9230, D08-1030:0.9225
P04-1062 ==> N03-1006:0.9185, P10-2020:0.8764, P04-3032:0.8594, H05-1036:0.8290, W05-0811:0.8229, P05-1044:0.8120, P09-2001:0.7812, D09-1142:0.7623, W06-2917:0.7483, W06-1638:0.7419
C02-1032 ==> W03-1714:0.9444, E03-1032:0.9076, P04-3001:0.9040, W14-0309:0.8974, P10-2032:0.8971, P06-2107:0.8892, W12-3111:0.8892, C04-1045:0.8839, P01-1027:0.8801, E03-1007:0.8793
W00-1212 ==> W13-2812:0.8833, W05-0819:0.8793, W13-2227:0.8788, P10-2005:0.8785, W08-0405:0.8777, N10-1065:0.8762, W10-1722:0.8730, W14-3325:0.8678, W09-0421:0.8667, C14-1192:0.8662
C00-1027 ==> W06-3310:0.9974, W02-1023:0.9970, W01-0508:0.9966, W07-1010:0.9948, W00-1315:0.9945, L08-1538:0.8054, E99-1011:0.7976, W05-1520:0.7970, E09-1039:0.7872, W11-2406:0.7749
C08-1024 ==> Q13-1023:0.9131, W14-4506:0.9112, W11-1707:0.9022, D14-1161:0.8543, P13-2010:0.8542, C08-1052:0.8534, D12-1057:0.8506, W14-5906:0.8485, W09-1111:0.8462, D14-1088:0.8383
P08-1069 ==> W06-1506:0.9385, W06-1505:0.9384, J10-3006:0.9367, W07-0404:0.9297, P06-2036:0.9297, W07-0402:0.9283, C04-1154:0.9143, P11-1046:0.9123, C00-2092:0.9035, W05-1507:0.9031
P11-1001 ==> P12-2007:0.9095, D11-1083:0.8853, C14-1195:0.8770, P13-1124:0.8750, P10-1108:0.8740, W12-3140:0.8734, W14-0311:0.8721, D08-1066:0.8689, P12-2061:0.8673, E14-1045:0.8666
W03-0108 ==> W03-0110:0.9996, N09-2030:0.8876, P13-1144:0.7970, D14-1039:0.7656, H05-2013:0.7382, W02-1809:0.7365, D12-1137:0.7355, I05-7012:0.7323, P11-1096:0.7309, W06-2410:0.7307
P14-1071 ==> W14-1813:0.9583, W08-1205:0.9533, W10-1004:0.9488, L08-1322:0.9472, W14-1710:0.9440, W13-3610:0.9433, W09-3010:0.9432, E14-1038:0.9427, W10-4236:0.9418, P08-1021:0.9416
C04-1199 ==> D09-1132:0.9630, L08-1442:0.9574, E09-3011:0.9506, P04-3018:0.9466, H05-1041:0.9411, L08-1294:0.9364, W06-0203:0.9322, W06-2609:0.9304, W04-1807:0.9270, W07-1706:0.9234
W09-3501 ==> W09-3504:0.9528, N10-1102:0.9424, W10-2409:0.9403, P06-2025:0.9365, P10-2051:0.9246, C02-1099:0.9225, I08-1031:0.9194, W02-2017:0.9142, C04-1103:0.9138, C04-1086:0.9089
P13-2137 ==> W14-3609:0.7853, J10-4007:0.7504, C10-2129:0.7437, S14-2008:0.7435, P14-2106:0.7433, C10-2002:0.7429, D14-1081:0.7346, C08-1132:0.7332, E14-4006:0.7287, P11-2121:0.7287
N09-2048 ==> P11-2020:0.9598, W14-2801:0.9586, W12-1612:0.9464, P08-1044:0.9368, W12-1617:0.9275, N12-1002:0.9183, N13-2012:0.9173, N06-2031:0.9117, P08-2043:0.8964, E06-1036:0.8681
W12-3142 ==> W10-1728:0.9031, W14-3312:0.9010, W11-2147:0.9005, W08-0318:0.8981, W12-3148:0.8933, W13-2261:0.8930, P13-1135:0.8915, W13-2812:0.8910, E14-1017:0.8897, W13-2814:0.8890
P10-1010 ==> D07-1005:0.9154, L08-1008:0.9138, W14-2201:0.8587, W14-2212:0.8172, C10-1009:0.7968, D07-1105:0.7950, D08-1011:0.7859, W11-1216:0.7853, N06-1013:0.7847, W11-2115:0.7817
W03-1121 ==> W03-1731:0.9854, W06-0125:0.9803, C04-1004:0.9413, C04-1075:0.9399, W06-0905:0.9234, W03-0105:0.9205, P03-2031:0.9020, W01-1306:0.8940, S10-1018:0.8915, L08-1399:0.8802
W12-2003 ==> W09-2509:0.7982, W10-0201:0.7784, W05-0202:0.7745, P12-3017:0.7725, W03-0210:0.7619, W04-2803:0.7362, N06-4001:0.7307, N03-2030:0.7287, W13-1913:0.7283, W05-0208:0.7277
P13-1030 ==> P09-2085:0.9106, C14-1219:0.9054, N09-1062:0.9054, P12-2022:0.9011, N10-1081:0.8978, P10-2042:0.8926, D12-1020:0.8926, J14-1007:0.8916, N10-1074:0.8892, P11-2036:0.8884
W09-0303 ==> W12-0216:0.9255, P13-4003:0.9173, W13-4073:0.9144, L08-1181:0.9080, W04-1613:0.9072, P03-1031:0.8995, E99-1006:0.8990, W01-1619:0.8982, W11-1509:0.8969, W02-0103:0.8961
W11-0815 ==> W14-0806:0.9024, W05-1005:0.8636, W07-1103:0.8510, W06-1206:0.8450, W06-2403:0.8447, W06-2407:0.8429, J09-2001:0.8415, C04-1124:0.8394, I05-1050:0.8390, W13-3208:0.8385
P12-2043 ==> W12-4407:0.8843, P10-4009:0.8814, P13-2001:0.8729, W13-2512:0.8663, W12-3153:0.8646, N07-1046:0.8636, P14-2025:0.8630, W10-1729:0.8540, D09-1024:0.8516, W06-1648:0.8472
