C02-1122 ==> H01-1043:0.9572, C04-1174:0.9396, W02-1608:0.8742, I08-2110:0.8342, N06-1023:0.7811, P06-2076:0.7622, P09-2052:0.7531, I05-1005:0.7437, P06-2097:0.7207, C02-1051:0.7091
I08-1044 ==> W06-0130:0.8482, I08-4016:0.8299, I08-4019:0.7726, W03-0409:0.7651, I08-4030:0.7566, W06-0116:0.7453, I08-4023:0.7450, W06-0140:0.7450, I05-3035:0.7315, P05-1062:0.7314
W07-0725 ==> W08-0313:0.9108, L08-1113:0.8223, W10-4011:0.8123, E14-4018:0.8114, P10-1137:0.7843, W09-0423:0.7806, N09-2055:0.7795, W12-0111:0.7770, W06-3115:0.7695, W14-4009:0.7685
W12-4105 ==> N13-1088:0.8560, P14-2087:0.8504, P10-1154:0.8366, P13-2154:0.8281, W11-0322:0.8048, S13-2043:0.8039, S14-1005:0.8023, W11-1105:0.7864, P08-3009:0.7844, S13-2041:0.7802
P08-2034 ==> S10-1100:0.9285, W10-4121:0.9269, W13-2513:0.8910, W06-0306:0.8833, C10-2169:0.8718, C10-2036:0.8661, W10-4119:0.8641, I05-1001:0.8621, W11-1712:0.8597, W11-1716:0.8508
W10-4212 ==> P11-2116:0.8942, W09-0629:0.8841, W08-1108:0.8752, N13-1137:0.8618, W11-2702:0.8551, P08-2050:0.8486, W09-0615:0.8436, W12-1504:0.8399, W12-1503:0.8384, W08-1107:0.8351
W11-0813 ==> C08-3010:0.8990, P08-2046:0.7929, C10-1047:0.7859, P06-2084:0.7781, W07-1511:0.7717, L08-1252:0.7569, P08-1106:0.7498, W03-1603:0.7491, W03-0612:0.7423, P12-1022:0.7205
P00-1073 ==> P02-1023:0.9144, D07-1021:0.8901, W13-3008:0.8300, W03-1701:0.7214, W07-0712:0.7193, W06-3113:0.7128, L08-1218:0.7068, P14-1142:0.6955, P06-1126:0.6938, P04-1059:0.6811
W04-1510 ==> W06-1502:0.9817, C02-1116:0.9299, W06-0406:0.9263, W04-0408:0.9207, W06-1513:0.9076, P01-1029:0.8926, P06-1018:0.8862, W06-0403:0.8781, P07-1043:0.8757, C02-1113:0.8740
W14-2007 ==> W14-4103:0.8092, C14-1044:0.8049, W14-4324:0.8025, W11-0609:0.8020, P12-1094:0.7990, W14-2501:0.7926, P07-1102:0.7532, W06-1637:0.7416, P08-2043:0.7236, E12-1080:0.7048
W12-1633 ==> W10-3206:0.8800, P10-1128:0.8213, W09-0618:0.7793, L08-1331:0.7708, W14-4411:0.7493, W10-4203:0.7470, W12-3504:0.7366, I05-1065:0.7329, W04-0713:0.7309, P07-1103:0.7301
W09-3016 ==> L08-1558:0.9893, W02-1701:0.8641, W03-2904:0.8584, I08-7013:0.8560, P07-2043:0.8287, P10-1068:0.8181, W06-2713:0.8144, W04-0604:0.7859, W14-3004:0.7848, W03-0804:0.7671
W07-2097 ==> W04-0860:0.9736, W04-0820:0.9038, C02-1115:0.8571, S10-1013:0.7856, W04-0859:0.7720, W09-2405:0.7692, P06-2028:0.7641, W08-2114:0.7618, W03-1714:0.7501, W04-2213:0.7330
D09-1021 ==> D10-1043:0.8209, C10-2136:0.8115, W10-0702:0.8024, W07-0706:0.8009, D10-1060:0.7841, P11-1047:0.7817, N09-2006:0.7793, C10-2154:0.7784, W09-2306:0.7779, C10-1051:0.7704
C02-1058 ==> C00-1059:0.9948, N03-1015:0.9824, C04-1105:0.9158, I05-1059:0.8112, W04-3208:0.7907, C04-1151:0.7572, P07-2008:0.7477, C08-1030:0.7466, W09-3109:0.7459, W11-1205:0.7411
W05-0835 ==> W05-0815:0.9240, W07-0403:0.8038, E06-1019:0.7890, P11-2066:0.7857, W13-0806:0.7758, P06-1090:0.7737, C10-2084:0.7734, W05-0810:0.7731, D10-1052:0.7648, W10-3813:0.7643
P14-2081 ==> P13-2132:0.8574, W11-2125:0.7681, W11-2210:0.7673, D10-1122:0.7586, P14-2112:0.7240, N10-1021:0.7011, W13-2515:0.6988, N12-1083:0.6955, W11-2021:0.6910, N12-1025:0.6902
E03-1003 ==> W14-4906:0.9106, W09-2509:0.8446, W12-1502:0.8123, W05-0202:0.7924, N06-4001:0.7873, W05-0208:0.7806, P01-1014:0.7801, W04-1016:0.7774, W04-2803:0.7763, W09-0620:0.7679
S14-2103 ==> S14-2025:0.8355, S13-2081:0.8206, S14-2143:0.8115, N13-1090:0.7870, S14-2136:0.7847, P13-1097:0.7830, P13-2087:0.7813, S14-2100:0.7772, P14-2133:0.7769, C14-1017:0.7760
D13-1168 ==> N13-1011:0.7953, D14-1040:0.7576, W13-5005:0.7171, P13-1109:0.6978, D12-1003:0.6946, D10-1025:0.6922, E14-1049:0.6745, E14-1044:0.6723, D14-1177:0.6704, P11-2083:0.6690
W06-1629 ==> W12-4401:0.9651, W10-2402:0.9644, I08-2086:0.9626, P07-2039:0.9437, L08-1055:0.9251, C00-1061:0.9157, P09-2006:0.9156, P10-2051:0.9155, I05-1040:0.9122, W09-3511:0.9080
W12-3138 ==> W12-0115:0.9255, W11-2134:0.8158, W10-1708:0.7968, W11-2141:0.7521, W10-1743:0.7142, E09-1082:0.6993, W09-0411:0.6912, D08-1078:0.6891, P13-1080:0.6840, E14-2008:0.6817
W12-3904 ==> W11-1205:0.7285, S10-1051:0.7238, W11-1217:0.7149, D11-1060:0.7035, S10-1052:0.6955, C08-1011:0.6881, W10-3406:0.6644, W09-2416:0.6625, W07-2080:0.6535, W13-2503:0.6360
W13-4041 ==> W02-0405:0.8453, H01-1013:0.7940, P01-1033:0.7853, W06-3711:0.7808, I08-5008:0.7751, P03-1053:0.7725, L08-1362:0.7725, W02-1038:0.7718, I05-2003:0.7714, W08-1501:0.7691
W10-4145 ==> E09-1090:0.9686, S12-1072:0.8409, D10-1003:0.7513, W11-0809:0.7257, W08-0504:0.7244, S10-1060:0.7098, S12-1042:0.7091, W06-1619:0.7082, P12-2001:0.7047, P06-1128:0.7043
N10-1017 ==> N03-2026:0.8371, C08-1013:0.7869, P09-4008:0.7520, N09-4006:0.7124, W10-0711:0.7032, I05-5003:0.6939, W08-0902:0.6912, P11-2096:0.6886, S12-1098:0.6787, W12-2009:0.6695
S13-2091 ==> S13-2085:0.8197, S13-2080:0.8127, S13-2052:0.8072, S13-2064:0.8048, C14-1019:0.7856, S13-2068:0.7856, S13-2090:0.7761, S13-2089:0.7608, S13-2076:0.7601, S13-2093:0.7563
P02-1048 ==> C00-1054:0.9960, C00-1053:0.9923, N04-4012:0.9210, W07-0303:0.9150, P03-2005:0.9131, W12-3505:0.8927, N06-2040:0.8823, W00-0508:0.8721, P07-1048:0.8715, N04-4011:0.8653
S12-1002 ==> W12-2501:0.9098, P13-3012:0.9083, W11-1904:0.8800, W11-1915:0.8741, D09-1101:0.8715, W12-4504:0.8638, W11-1914:0.8626, W12-4514:0.8620, W11-1916:0.8590, P14-1005:0.8582
W12-3209 ==> W10-0402:0.9283, P11-4002:0.9140, W12-3213:0.8879, W12-3204:0.8862, W10-1114:0.8832, L08-1005:0.8808, L08-1291:0.8675, L08-1251:0.8636, W04-3113:0.8505, E14-1053:0.8113
W10-0301 ==> P04-2007:0.9033, N03-3006:0.8513, L08-1163:0.8480, L08-1097:0.8382, P05-1076:0.8321, P08-1050:0.8039, P08-3010:0.7965, I08-2107:0.7883, W01-0705:0.7834, P04-2008:0.7804
P10-2039 ==> P14-2132:0.8935, P09-1057:0.8902, P08-1085:0.8742, E09-1042:0.8691, D09-1072:0.8439, D10-1078:0.8407, W08-2112:0.8398, W11-2208:0.8369, N12-1014:0.8291, D10-1083:0.8201
W09-1213 ==> W09-1212:0.9122, W09-1217:0.9107, W09-1219:0.9085, W14-2902:0.8963, W09-1202:0.8830, W09-1206:0.8789, W09-1214:0.8782, W09-1216:0.8759, W09-1211:0.8644, C10-3009:0.8557
P05-2015 ==> W01-0509:0.9304, W01-1201:0.9123, W00-0603:0.9072, W00-0605:0.8938, W00-0601:0.8612, W00-1316:0.8574, H05-1041:0.8347, L08-1135:0.8230, L08-1442:0.8196, C02-1119:0.8158
C14-1112 ==> N10-1127:0.8350, P12-2061:0.8209, W14-3335:0.7792, W14-3361:0.7782, C08-1027:0.7777, C10-1051:0.7763, W11-1007:0.7756, W06-1402:0.7743, C02-1034:0.7678, W13-2257:0.7637
D14-1203 ==> D14-1089:0.8780, W13-3517:0.8085, E14-2023:0.7900, P13-2141:0.7890, W12-3312:0.7881, C14-1199:0.7847, D14-1167:0.7826, D13-1184:0.7824, W13-2026:0.7793, P11-2048:0.7756
W02-0604 ==> W02-0602:0.9160, W04-0106:0.9112, P03-1036:0.9052, I08-1003:0.8983, W05-0504:0.8935, W05-0503:0.8825, W02-0601:0.8823, C04-1152:0.8748, P07-1118:0.8662, W02-0606:0.8581
N09-1018 ==> D08-1008:0.8919, C10-2083:0.8165, P07-2051:0.7747, W08-2133:0.7682, C10-1079:0.7656, W08-2134:0.7647, W08-2125:0.7603, I08-2079:0.7430, D07-1062:0.7371, N10-1030:0.7367
W08-2111 ==> I08-2079:0.9232, W09-1112:0.9191, N09-2065:0.8974, W06-1622:0.8404, W04-2420:0.8355, W04-2418:0.8334, W07-1518:0.8329, W04-2414:0.8289, W04-2412:0.8277, W05-0404:0.8226
W06-0707 ==> W04-1003:0.9035, W09-2806:0.8900, W06-1401:0.8686, P09-2027:0.8564, P12-2070:0.8439, N06-2006:0.8390, N10-3003:0.8353, P08-2005:0.8341, C08-2006:0.8335, W10-4201:0.8311
D12-1099 ==> E12-2014:0.7297, P12-1089:0.7053, D11-1141:0.6952, D13-1185:0.6770, P11-1120:0.6754, C10-2146:0.6725, W14-3912:0.6685, E12-1029:0.6664, P11-1114:0.6645, N12-1008:0.6616
W06-3208 ==> E06-2023:0.9848, W06-3209:0.9170, I08-1003:0.8940, D09-1070:0.8930, W04-0102:0.8868, W04-0105:0.8827, W05-0503:0.8827, W04-0106:0.8755, W02-0606:0.8691, W07-1032:0.8690
S13-2035 ==> S13-2039:0.9086, J13-3008:0.8931, S13-2036:0.8891, P14-5012:0.8831, W10-4163:0.8634, D10-1012:0.8471, S12-1027:0.8457, S10-1081:0.8393, C14-1123:0.8340, E12-1060:0.8318
E03-1065 ==> N03-4003:0.8783, W00-1437:0.8662, J08-2008:0.8500, W00-1422:0.8460, W06-0805:0.8441, E06-2003:0.8441, P07-2037:0.8343, W05-0105:0.8325, N06-4005:0.8297, W05-0107:0.8240
D14-1131 ==> D13-1022:0.8680, D10-1027:0.8635, P14-2022:0.8587, W12-3125:0.8309, W13-2260:0.8259, P11-1008:0.8226, D14-1028:0.8178, D11-1003:0.8107, D14-1063:0.8107, P14-2127:0.8104
W02-1403 ==> W03-1802:0.9458, L08-1247:0.9359, W07-1708:0.9198, W04-1805:0.8677, W02-0112:0.8221, W02-0106:0.8212, W05-0108:0.8207, W13-4058:0.7988, P03-1053:0.7952, W02-0405:0.7935
C02-2024 ==> P03-1026:0.9795, P04-1029:0.9757, N03-3005:0.9580, C00-2155:0.9006, C00-1062:0.8259, C02-1075:0.8186, E09-1093:0.8101, W05-1511:0.7783, N03-2020:0.7587, W06-1661:0.7498
N12-1093 ==> W14-4417:0.8943, P12-1039:0.8707, W13-2124:0.7924, D11-1149:0.7874, P13-1022:0.7688, P13-1138:0.7634, P14-1040:0.7625, W14-5002:0.7619, P13-2100:0.7590, C10-2062:0.7529
D13-1086 ==> N13-1080:0.9196, D12-1119:0.8821, D13-1016:0.8380, W14-2602:0.8190, D08-1072:0.8188, P12-2053:0.7955, P10-2056:0.7879, W08-0804:0.7866, P11-3022:0.7852, N09-1068:0.7827
W07-2056 ==> C02-1168:0.9445, D09-1048:0.9344, W04-0834:0.9324, C04-1131:0.8892, W04-0839:0.8860, W04-0850:0.8527, W07-2055:0.8446, W02-2015:0.8406, W04-2404:0.8356, W07-2053:0.8185
W07-1216 ==> E09-2012:0.9873, P06-4016:0.9681, P06-1120:0.9576, W06-1006:0.9522, W04-0412:0.9250, I05-3007:0.9200, D09-1051:0.8927, W07-1511:0.8924, W11-0819:0.8821, W03-1806:0.8469
P12-1090 ==> C10-1119:0.8855, I08-2107:0.8651, C08-1057:0.8498, W09-3205:0.8396, D09-1067:0.8332, P08-3010:0.8316, L08-1097:0.8200, W08-2212:0.8139, P04-2007:0.8092, C14-1086:0.8052
W12-2208 ==> W13-1506:0.9471, W14-1819:0.9195, D12-1043:0.9160, N12-1063:0.8996, W12-2207:0.8977, E09-3003:0.8966, W14-1821:0.8885, E09-2013:0.8880, W11-1415:0.8879, W13-2904:0.8878
W08-2106 ==> W06-1644:0.9678, P14-2096:0.9646, P09-1086:0.9498, P14-1124:0.9479, H01-1064:0.9476, W04-2902:0.9474, H05-2015:0.9451, P05-3011:0.9126, N06-1053:0.8596, P05-1055:0.8548
C10-2084 ==> P10-1033:0.8734, P11-2066:0.8706, P13-1077:0.8698, D10-1052:0.8461, N10-1033:0.8351, W10-2917:0.8321, D13-1026:0.8255, P06-2122:0.8228, W13-2810:0.8185, W10-3813:0.8158
W08-1913 ==> E03-1018:0.9179, W10-3403:0.8944, W10-1823:0.8929, W08-1912:0.8493, W10-3410:0.8143, C08-2023:0.7791, N04-4023:0.7770, P09-2067:0.7763, S14-2088:0.7718, W06-3708:0.7688
W09-3934 ==> N07-4009:0.9115, P10-1009:0.9076, W09-3910:0.8992, D09-1118:0.8694, W11-0503:0.8630, W08-0125:0.8515, H05-2003:0.8449, W11-2012:0.8440, N03-2012:0.8363, N04-4027:0.8330
D09-1022 ==> D08-1039:0.8647, W12-3109:0.8422, W07-0413:0.8254, N09-2005:0.8177, W10-1711:0.8013, W13-2258:0.8003, W12-3137:0.7965, P07-1020:0.7902, E14-4011:0.7834, W13-2224:0.7812
P01-1050 ==> W02-1018:0.9496, N03-1017:0.8624, W03-0313:0.8288, C00-2172:0.8284, W04-3227:0.7879, P03-1041:0.7638, W06-3109:0.7595, P01-1030:0.7311, W01-1409:0.7281, P01-1067:0.7192
W14-3703 ==> P11-2113:0.8628, E14-1075:0.8626, E12-1022:0.8556, D13-1069:0.8519, P14-2055:0.8515, C10-2105:0.8445, Q13-1008:0.8431, D09-1032:0.8358, W13-3106:0.8336, P11-1050:0.8309
N12-1088 ==> N12-1061:0.7651, D11-1126:0.7347, P09-1065:0.7277, C10-1151:0.6879, D11-1137:0.6783, D12-1041:0.6685, D14-1029:0.6676, D12-1078:0.6672, C10-2086:0.6559, W14-3362:0.6555
E06-2016 ==> W06-2608:0.9196, N07-1017:0.8873, P05-1050:0.8642, W04-0849:0.8223, W04-0808:0.8193, W05-0608:0.8150, W06-2604:0.8119, W07-2078:0.8022, W04-0838:0.8011, W07-2099:0.8006
C14-1105 ==> W12-3154:0.8589, N13-1035:0.8564, W09-0432:0.8442, D14-1062:0.8357, W14-3319:0.8308, P13-1082:0.8278, C14-1182:0.8246, W10-1759:0.8222, N13-1114:0.8200, P14-2093:0.8195
W10-1710 ==> W10-1723:0.8395, W11-2154:0.8139, E14-1004:0.8085, D14-1095:0.8078, W10-1719:0.8033, W12-3157:0.8028, W09-0435:0.7938, P08-2020:0.7912, E09-1043:0.7893, P12-1050:0.7886
W04-1006 ==> P11-3008:0.9853, W03-0505:0.9219, I08-1063:0.8393, W04-0504:0.7963, W13-2110:0.7897, N06-2050:0.7833, N07-3005:0.7803, J02-4005:0.7774, W04-1011:0.7762, E03-2013:0.7752
C04-1035 ==> L08-1492:0.8219, W09-3944:0.8092, W09-3935:0.7992, J07-3005:0.7908, W12-1618:0.7835, W11-2031:0.7828, W11-2012:0.7796, P05-1031:0.7786, N12-3007:0.7784, L08-1092:0.7721
P00-1016 ==> W00-1304:0.9522, N01-1006:0.8913, P00-1036:0.8789, W02-1607:0.7578, W00-0735:0.6821, W00-0726:0.6610, P00-1035:0.6501, W00-0733:0.6378, P01-1035:0.6006, N01-1026:0.5873
J11-4005 ==> P12-2044:0.8439, P10-1143:0.8078, P10-1100:0.7827, W14-2909:0.7795, W14-2903:0.7573, P12-1011:0.7502, E12-1034:0.7466, J14-3009:0.7420, W12-3309:0.7393, D08-1073:0.7364
D13-1010 ==> W10-0723:0.9071, N09-1057:0.9039, W10-0730:0.8887, D07-1069:0.8839, P11-1035:0.8577, W11-1701:0.8516, P14-3004:0.8508, C08-1040:0.8284, W10-0214:0.8270, W14-2701:0.8206
C04-1033 ==> W06-3316:0.9586, W11-1823:0.8420, C04-1075:0.7978, C08-1033:0.7912, W03-1301:0.7678, W07-1022:0.7598, W07-1031:0.7584, W12-2406:0.7531, W06-3304:0.7515, D09-1151:0.7509
W09-1217 ==> W09-1213:0.9107, W14-2902:0.9100, W08-2130:0.8831, W09-1219:0.8824, W09-1202:0.8718, W14-3007:0.8627, W09-1211:0.8623, W09-1212:0.8544, C10-3009:0.8526, D14-1103:0.8505
P06-2006 ==> P06-4020:0.9714, W05-1517:0.9430, L08-1149:0.8710, W08-1307:0.8602, L08-1306:0.8593, W12-0905:0.8525, W12-0910:0.8474, W10-2107:0.8454, W07-1607:0.8453, W12-0906:0.8439
W04-1612 ==> W02-0504:0.9848, D07-1116:0.8929, W05-0711:0.8839, P06-1073:0.8809, P09-2056:0.8646, W04-3232:0.8512, N07-2033:0.8452, N07-2014:0.8390, W04-1606:0.8260, N09-1045:0.8228
W10-0408 ==> N10-1018:0.7973, D07-1012:0.7722, W13-3608:0.7709, W09-2112:0.7707, W14-1810:0.7668, W12-2028:0.7485, W13-3612:0.7479, W09-2108:0.7367, W09-2107:0.7347, I08-1059:0.7345
E06-1023 ==> W06-1322:0.9927, P07-2031:0.9630, P03-1070:0.9222, A00-2001:0.8725, W08-0105:0.8602, W13-4044:0.8463, W12-3504:0.8378, W07-1906:0.8369, N06-2010:0.8309, C08-1129:0.8168
L08-1039 ==> W09-1508:0.8538, P10-1022:0.8383, C10-2051:0.8276, D09-1126:0.8144, W06-0609:0.8128, W09-2601:0.8123, C10-1122:0.8121, C10-2119:0.8024, W08-1304:0.7961, S10-1069:0.7765
S13-2022 ==> S13-2005:0.9143, P12-2024:0.9059, S12-1104:0.9044, S13-2006:0.8998, S12-1103:0.8796, S12-1105:0.8665, S13-2023:0.8660, S12-1106:0.8548, S12-1053:0.8528, S13-2099:0.8488
P13-1012 ==> W12-4507:0.8544, C10-1017:0.8354, P13-3012:0.8281, E14-1005:0.8265, W11-1907:0.8250, D13-1203:0.8223, W12-4503:0.8137, W12-4511:0.8117, W12-4513:0.8107, C14-1201:0.8093
W13-5007 ==> D11-1011:0.8459, D08-1106:0.8303, N13-1094:0.8261, W09-1703:0.8147, C10-2110:0.8121, C10-1112:0.8084, D09-1156:0.8040, W12-2402:0.8025, W09-2207:0.7952, C10-1057:0.7853
W04-2113 ==> W08-1501:0.8285, L08-1420:0.8243, W12-1001:0.8203, W08-1135:0.8171, W10-0304:0.8170, W06-3711:0.8092, E03-1018:0.8068, E99-1023:0.8006, W10-1835:0.7999, P01-1065:0.7972
N03-3006 ==> P04-2007:0.9088, W04-0913:0.9070, W06-2302:0.9040, W04-2005:0.8870, E03-1025:0.8650, W10-0301:0.8513, L08-1239:0.8131, W02-0905:0.8065, W06-2910:0.8037, P05-1076:0.7847
W14-4722 ==> L08-1340:0.8979, W12-1004:0.8444, W14-3009:0.7986, P05-2019:0.7608, P04-3030:0.7525, W04-0206:0.7478, E03-2005:0.7458, W05-0307:0.7317, W99-0104:0.7198, W13-3525:0.7152
W03-0609 ==> E03-1042:0.9925, W03-0608:0.9879, W04-2305:0.9738, W08-0102:0.9717, C04-1049:0.9619, W03-2123:0.9585, S14-1019:0.9541, E03-3005:0.9535, W00-0312:0.9474, E09-1083:0.9460
C08-1031 ==> C10-1020:0.9016, P11-2099:0.8730, W12-4301:0.8187, W06-1602:0.8184, W06-0302:0.8130, P11-2101:0.8119, E14-1040:0.8098, W07-1018:0.8087, P12-2013:0.8018, D09-1019:0.7991
P13-1103 ==> W13-4913:0.8416, W13-2118:0.8151, W07-1522:0.7931, C10-1122:0.7520, C14-1077:0.7107, D09-1126:0.7056, P11-1081:0.7032, J13-3010:0.6965, P09-2022:0.6884, C10-2051:0.6858
N10-1088 ==> W11-1413:0.8234, P10-1138:0.7623, N13-1088:0.7543, W14-4711:0.7305, W10-2309:0.7203, J13-3007:0.7149, D12-1129:0.7121, C14-1035:0.7117, P13-4018:0.7111, W09-1701:0.7097
W04-0210 ==> W00-1415:0.8995, N01-1002:0.8965, P00-1019:0.8937, W00-1425:0.8879, W08-2215:0.8849, I05-3016:0.8669, P00-1051:0.8591, W11-0419:0.8577, L08-1091:0.8429, N04-4020:0.8380
W11-1514 ==> W11-1709:0.9591, N12-1071:0.9473, P11-2064:0.9377, E12-1031:0.9280, W10-0204:0.8874, W13-1603:0.8716, W11-0611:0.8582, W14-0901:0.8571, W10-3405:0.7978, P12-2015:0.7912
I05-1031 ==> N04-4008:0.8699, C02-1162:0.7715, W02-1819:0.7559, W10-3301:0.7237, W08-1708:0.7180, C10-2018:0.7126, S10-1087:0.7111, C02-1143:0.7100, W02-1003:0.7092, P04-1038:0.7063
P06-2050 ==> I05-3008:0.9875, W04-1106:0.9819, I05-7002:0.9781, C00-1026:0.9717, W00-1203:0.9634, W11-1103:0.8937, W03-0612:0.8921, W03-1603:0.8801, W09-3735:0.8778, C10-1133:0.8731
W09-3910 ==> N06-2023:0.9198, N07-2054:0.9170, W09-3934:0.8992, W10-0716:0.8844, W08-0112:0.8621, P10-1009:0.8505, P08-2051:0.8491, N10-1001:0.8489, W11-0503:0.8454, N04-4027:0.8416
W10-1610 ==> L08-1275:0.9806, S14-1004:0.9754, D14-1031:0.9741, W09-0308:0.9715, C08-1126:0.9700, L08-1323:0.9462, W09-1123:0.9157, N12-2007:0.9044, P12-1074:0.8594, P11-1029:0.8583
L08-1291 ==> W12-3213:0.9663, L08-1005:0.9646, W10-1114:0.9453, W10-0402:0.9209, W12-3204:0.9010, D07-1089:0.8719, W12-3209:0.8675, P14-2059:0.8413, E14-1053:0.8275, W12-3202:0.8248
W10-1752 ==> W09-0403:0.9628, P11-2027:0.9114, W14-0308:0.8980, E14-4018:0.8893, P09-2034:0.8785, W09-0402:0.8749, W13-2254:0.8722, W08-0312:0.8701, W08-0324:0.8666, W10-0707:0.8562
W04-0803 ==> W05-0621:0.8020, W07-2021:0.7958, W05-0631:0.7752, W05-0632:0.7684, W05-0624:0.7668, W04-0835:0.7650, L08-1599:0.7630, W05-0620:0.7562, W06-2106:0.7455, C04-1179:0.7383
P09-2056 ==> D07-1116:0.9494, W09-0804:0.9156, P08-2030:0.8892, N07-2014:0.8871, P06-1073:0.8859, N10-1104:0.8851, W14-3602:0.8806, P10-2063:0.8733, N09-1045:0.8652, W04-1612:0.8646
P04-1062 ==> N03-1006:0.8998, P05-1044:0.8380, P10-2020:0.8224, P04-3032:0.8078, D09-1142:0.6924, W06-2917:0.6777, N03-1016:0.6734, W06-1635:0.6732, H05-1036:0.6659, W03-0407:0.6520
C02-1032 ==> W03-1714:0.8651, W01-1407:0.8611, C04-1045:0.8455, C02-1060:0.8391, E03-1007:0.8069, W02-1405:0.7956, P01-1027:0.7895, C04-1031:0.7862, C02-1115:0.7706, P04-3001:0.7633
W00-1212 ==> W05-0819:0.7456, H01-1033:0.7256, C00-2122:0.7148, N10-1052:0.7140, W09-3109:0.7136, P10-1145:0.7062, D07-1056:0.7005, I05-1059:0.6946, W04-1617:0.6934, W01-1414:0.6915
C00-1027 ==> W06-3310:0.9982, W01-0508:0.9977, W07-1010:0.9976, W02-1023:0.9974, W00-1315:0.9958, W05-0108:0.7347, W02-0112:0.7208, L08-1035:0.7178, W02-0106:0.7174, W11-2406:0.7012
C08-1024 ==> C08-1052:0.8013, W11-1707:0.7735, P11-1162:0.7434, I05-1069:0.7286, P10-4010:0.7163, W07-2045:0.7150, W10-3911:0.7118, N09-1002:0.7070, W07-1703:0.7065, P08-2047:0.6986
P08-1069 ==> J10-3006:0.9379, W06-1505:0.9049, W06-1506:0.8996, P06-2036:0.8976, W07-0402:0.8893, W07-0404:0.8706, W06-1501:0.8682, P09-1111:0.8585, N07-1019:0.8515, P11-1046:0.8472
P11-1001 ==> P13-1156:0.8477, W12-3128:0.8464, C14-1108:0.8458, C10-2096:0.8404, P12-2007:0.8396, W11-2166:0.8325, C14-1195:0.8320, D13-1053:0.8288, C10-1051:0.8251, N10-1128:0.8160
W03-0108 ==> W03-0110:0.9992, N09-2030:0.9101, D14-1039:0.7629, D12-1137:0.7584, P11-1096:0.7570, P13-1144:0.7485, W14-2509:0.6992, P07-1053:0.6885, P13-4002:0.6735, P11-2085:0.6518
P14-1071 ==> W12-2028:0.8306, D13-1074:0.8269, W13-3602:0.8256, W12-2024:0.8223, W14-1713:0.8139, P12-2039:0.8123, W14-1813:0.8077, D10-1094:0.8068, W14-1708:0.8067, W14-1709:0.8029
C04-1199 ==> E09-3011:0.9355, W07-1706:0.9283, L08-1294:0.9269, W06-2609:0.9200, L08-1442:0.9093, W06-0203:0.8811, P04-3018:0.8643, H05-1041:0.8613, L08-1070:0.8521, W04-1807:0.8507
W09-3501 ==> W09-3504:0.8904, W09-3506:0.8827, P10-2051:0.8763, W12-4401:0.8692, W09-3511:0.8627, W10-2409:0.8544, W10-2402:0.8513, W09-3510:0.8492, P06-2025:0.8467, C00-1061:0.8397
P13-2137 ==> C14-1163:0.7123, L08-1078:0.7044, L08-1592:0.6900, P13-2128:0.6780, C14-1069:0.6718, W14-5403:0.6695, W14-4709:0.6627, S14-1020:0.6554, E14-4008:0.6536, E09-1098:0.6508
N09-2048 ==> W14-2801:0.9784, P08-1044:0.9315, W12-1617:0.9201, W12-1612:0.9085, N12-1002:0.8952, P11-2020:0.8882, N13-2012:0.8853, E06-1036:0.8824, W10-2002:0.8363, P08-2043:0.8315
W12-3142 ==> W11-2151:0.8538, W13-2803:0.8231, W13-2219:0.8058, W14-3363:0.8017, W10-1706:0.7900, W11-2162:0.7898, W09-0414:0.7890, W10-1759:0.7874, W10-0504:0.7865, P12-3008:0.7848
P10-1010 ==> D07-1005:0.9299, L08-1008:0.8607, W11-1216:0.7927, W14-2211:0.7818, W14-2201:0.7816, W14-2212:0.7504, E14-1001:0.7016, W02-1404:0.6959, P11-2019:0.6712, N06-1013:0.6668
W03-1121 ==> W03-1731:0.9897, W06-0125:0.9124, W06-0905:0.9012, C04-1075:0.8723, W03-0105:0.8614, P09-3005:0.8611, W06-2001:0.8509, W07-1028:0.8452, W01-1306:0.8223, W10-4226:0.8214
W12-2003 ==> W12-2014:0.7833, W11-0315:0.7282, W09-2509:0.7088, P09-1056:0.6846, D12-1120:0.6792, P12-3017:0.6719, P07-1088:0.6682, D10-1075:0.6639, P10-1099:0.6547, W10-0201:0.6495
P13-1030 ==> P12-2022:0.9153, P11-2036:0.9043, P11-2127:0.8842, P10-2042:0.8813, N09-1062:0.8700, W13-3519:0.8667, P13-2106:0.8663, C14-1219:0.8647, C14-1176:0.8603, W12-1904:0.8484
W09-0303 ==> P13-4003:0.9725, W12-0216:0.9506, W10-2305:0.8696, C04-1137:0.8667, W09-3203:0.8629, P07-3005:0.8497, W06-1101:0.8474, W07-1317:0.8399, W10-2206:0.8332, P07-3011:0.8326
W11-0815 ==> D07-1110:0.8886, W11-0822:0.8854, C10-2120:0.8775, W14-0806:0.8493, C10-3015:0.8295, W06-1208:0.8089, W06-1206:0.8086, W13-1014:0.7989, W07-1103:0.7888, W05-1005:0.7580
P12-2043 ==> N12-1025:0.7753, P10-1048:0.7568, W12-4407:0.7488, P13-2001:0.7314, W12-4406:0.7296, D11-1128:0.7294, P11-1044:0.7214, P13-2120:0.7206, N12-1044:0.7095, L08-1580:0.7091
